cpu
Loading Hopkins155 data from: data/test_samples/
finished loading data for 2 sequences
Pretraining Epoch 1/10, Avg Loss: 5.5678
Pretraining Epoch 2/10, Avg Loss: 5.4840
Pretraining Epoch 3/10, Avg Loss: 5.3798
Pretraining Epoch 4/10, Avg Loss: 5.3383
Pretraining Epoch 5/10, Avg Loss: 5.2636
Pretraining Epoch 6/10, Avg Loss: 5.2840
Pretraining Epoch 7/10, Avg Loss: 5.2510
Pretraining Epoch 8/10, Avg Loss: 5.2389
Pretraining Epoch 9/10, Avg Loss: 5.2344
Pretraining Epoch 10/10, Avg Loss: 5.2158
Full Training Epoch 1/20, Avg Loss: 5.7345
Full Training Epoch 2/20, Avg Loss: 5.3028
Full Training Epoch 3/20, Avg Loss: 5.2720
Full Training Epoch 4/20, Avg Loss: 5.2520
Full Training Epoch 5/20, Avg Loss: 5.2007
Full Training Epoch 6/20, Avg Loss: 5.2228
Full Training Epoch 7/20, Avg Loss: 5.1641
Full Training Epoch 8/20, Avg Loss: 5.1684
Full Training Epoch 9/20, Avg Loss: 5.1500
Full Training Epoch 10/20, Avg Loss: 5.1169
Full Training Epoch 11/20, Avg Loss: 5.1029
Full Training Epoch 12/20, Avg Loss: 5.0691
Full Training Epoch 13/20, Avg Loss: 5.1322
Full Training Epoch 14/20, Avg Loss: 5.0698
Full Training Epoch 15/20, Avg Loss: 5.1038
Full Training Epoch 16/20, Avg Loss: 5.0856
Full Training Epoch 17/20, Avg Loss: 5.0034
Full Training Epoch 18/20, Avg Loss: 4.9842
Full Training Epoch 19/20, Avg Loss: 4.9538
Full Training Epoch 20/20, Avg Loss: 4.9303
Model training complete.
Saving model state_dict to out/models/trained_model_weights.pt...
Saved.
cuda
Loading Hopkins155 data from: ./data/Hopkins155/
finished loading data for 157 sequences
Pretraining Epoch 1/2000, Avg Loss: 5.4380
Pretraining Epoch 2/2000, Avg Loss: 5.4001
Pretraining Epoch 3/2000, Avg Loss: 5.3745
Pretraining Epoch 4/2000, Avg Loss: 5.3691
Pretraining Epoch 5/2000, Avg Loss: 5.3348
Pretraining Epoch 6/2000, Avg Loss: 5.3403
Pretraining Epoch 7/2000, Avg Loss: 5.3236
Pretraining Epoch 8/2000, Avg Loss: 5.3100
Pretraining Epoch 9/2000, Avg Loss: 5.3027
Pretraining Epoch 10/2000, Avg Loss: 5.2955
Pretraining Epoch 11/2000, Avg Loss: 5.3104
Pretraining Epoch 12/2000, Avg Loss: 5.2993
Pretraining Epoch 13/2000, Avg Loss: 5.2901
Pretraining Epoch 14/2000, Avg Loss: 5.2779
Pretraining Epoch 15/2000, Avg Loss: 5.2806
Pretraining Epoch 16/2000, Avg Loss: 5.2858
Pretraining Epoch 17/2000, Avg Loss: 5.2698
Pretraining Epoch 18/2000, Avg Loss: 5.2631
Pretraining Epoch 19/2000, Avg Loss: 5.2664
Pretraining Epoch 20/2000, Avg Loss: 5.2546
Pretraining Epoch 21/2000, Avg Loss: 5.2558
Pretraining Epoch 22/2000, Avg Loss: 5.2559
Pretraining Epoch 23/2000, Avg Loss: 5.2553
Pretraining Epoch 24/2000, Avg Loss: 5.2415
Pretraining Epoch 25/2000, Avg Loss: 5.2416
Pretraining Epoch 26/2000, Avg Loss: 5.2426
Pretraining Epoch 27/2000, Avg Loss: 5.2329
Pretraining Epoch 28/2000, Avg Loss: 5.2389
Pretraining Epoch 29/2000, Avg Loss: 5.2235
Pretraining Epoch 30/2000, Avg Loss: 5.2234
Pretraining Epoch 31/2000, Avg Loss: 5.2192
Pretraining Epoch 32/2000, Avg Loss: 5.2259
Pretraining Epoch 33/2000, Avg Loss: 5.2121
Pretraining Epoch 34/2000, Avg Loss: 5.2084
Pretraining Epoch 35/2000, Avg Loss: 5.1995
Pretraining Epoch 36/2000, Avg Loss: 5.2031
Pretraining Epoch 37/2000, Avg Loss: 5.1990
Pretraining Epoch 38/2000, Avg Loss: 5.1992
Pretraining Epoch 39/2000, Avg Loss: 5.1877
Pretraining Epoch 40/2000, Avg Loss: 5.1864
Pretraining Epoch 41/2000, Avg Loss: 5.1956
Pretraining Epoch 42/2000, Avg Loss: 5.1790
Pretraining Epoch 43/2000, Avg Loss: 5.1809
Pretraining Epoch 44/2000, Avg Loss: 5.1772
Pretraining Epoch 45/2000, Avg Loss: 5.1671
Pretraining Epoch 46/2000, Avg Loss: 5.1665
Pretraining Epoch 47/2000, Avg Loss: 5.1624
Pretraining Epoch 48/2000, Avg Loss: 5.1562
Pretraining Epoch 49/2000, Avg Loss: 5.1512
Pretraining Epoch 50/2000, Avg Loss: 5.1474
Pretraining Epoch 51/2000, Avg Loss: 5.1544
Pretraining Epoch 52/2000, Avg Loss: 5.1524
Pretraining Epoch 53/2000, Avg Loss: 5.1439
Pretraining Epoch 54/2000, Avg Loss: 5.1414
Pretraining Epoch 55/2000, Avg Loss: 5.1378
Pretraining Epoch 56/2000, Avg Loss: 5.1321
Pretraining Epoch 57/2000, Avg Loss: 5.1308
Pretraining Epoch 58/2000, Avg Loss: 5.1261
Pretraining Epoch 59/2000, Avg Loss: 5.1168
Pretraining Epoch 60/2000, Avg Loss: 5.1274
Pretraining Epoch 61/2000, Avg Loss: 5.1167
Pretraining Epoch 62/2000, Avg Loss: 5.1154
Pretraining Epoch 63/2000, Avg Loss: 5.1066
Pretraining Epoch 64/2000, Avg Loss: 5.1105
Pretraining Epoch 65/2000, Avg Loss: 5.1175
Pretraining Epoch 66/2000, Avg Loss: 5.1012
Pretraining Epoch 67/2000, Avg Loss: 5.1004
Pretraining Epoch 68/2000, Avg Loss: 5.0996
Pretraining Epoch 69/2000, Avg Loss: 5.0862
Pretraining Epoch 70/2000, Avg Loss: 5.0848
Pretraining Epoch 71/2000, Avg Loss: 5.0778
Pretraining Epoch 72/2000, Avg Loss: 5.0704
Pretraining Epoch 73/2000, Avg Loss: 5.0807
Pretraining Epoch 74/2000, Avg Loss: 5.0704
